e0_x,e0_y,r1_x,r1_y,r2_x,r2_y,r3_x,r3_y,r4_x,r4_y
-0.38278310683737143,0.38727598932964014,0.012395086598311305,0.7699202870610083,-0.7699429497721925,0.7825335022544676,-0.7860618031019585,-0.006518362304357039,0.012338429820350811,-0.00473367379860079
-0.371475692658336,0.3959000007913835,0.006485703658565571,0.7716121271594876,-0.7733072704394551,0.772811547866826,-0.7858698490831824,-0.007585410055317654,0.005602519764800804,-0.0013945758580574674
-0.37030044223678044,0.3993816287998784,0.013405856786243791,0.7748083429425852,-0.7661438600048153,0.7827258385392248,-0.7854229760381162,0.0024719008578632518,0.010144202136421789,-0.0015167834560361193
-0.32245155191429026,0.41570820860248936,0.07316842602804474,0.7742240428548921,-0.7403340160705846,0.7774381597605169,-0.7184969276823696,-0.007562628013234651,0.006570033086497552,-0.005955569560422258
-0.2740752850197595,0.43364086088761267,0.19195121257782957,0.7788246666477128,-0.6385011230204987,0.7906547635970773,-0.5941105393341484,-0.021753902140846715,0.05066812611946666,-0.006631507121940106
-0.14052386834837483,0.42515480789657967,0.3036785660893991,0.7832385733281928,-0.48010244466650404,0.7786469750497667,-0.4893507903661099,-0.01953624511184715,0.2339746484857545,0.011112177696647352
0.003430735758865433,0.4145025329924249,0.4391122615890358,0.7833111531070845,-0.37029744795057884,0.777728406041068,-0.36341549016182584,-0.02718909304578432,0.41789324905906067,0.01687401737362826
0.16908720010223383,0.41289408542520917,0.602518928248567,0.7936711257239591,-0.18923247312811886,0.7780634260011581,-0.2065298710559903,-0.019851824037889654,0.5914691539360818,0.027296435541405484
0.33707423018400534,0.4200135464083734,0.7554707933393645,0.8111660881883904,-0.04425621155292403,0.7795175761468737,-0.03991325210788155,-0.014879107844992079,0.7596134185760689,0.032655906917731015
0.4891408458381678,0.4362810219830708,0.9067626560346371,0.8174142052843472,0.12174556328211994,0.8037183550464502,0.13032106341060762,0.0005831003683312574,0.9144747190792496,0.04571590988732027
0.6490136462501838,0.45711888415007007,1.063328663317672,0.8366789222326287,0.29200777131887945,0.8152282244394047,0.29912177904375625,0.011917983172462898,1.0747102397188701,0.06493169134550636
0.7955055386560699,0.49146320609824784,1.1977846944522448,0.8627125530843434,0.4181693961209797,0.8360328758183264,0.44446361869321904,0.03272129131244428,1.2283739836122924,0.06630244309562322
1.0719855350887106,0.4246920555995028,1.3636286586054922,0.9042038648434851,0.630978076618827,0.8733613967679964,0.6249434964402757,0.05582834218555782,1.3133772177647192,0.07638998756921689
1.2498795683954054,0.46772432996867386,1.5013198746954401,0.9537264183780021,0.7757145840584754,0.8915085276714236,0.7839095022624434,0.0877466063348416,1.5317229376957884,0.10174730247128438
1.406493282997806,0.4989924109115433,1.6294613220052558,1.0173256021271153,0.9454805776699406,0.9056497236455532,0.9492465949876356,0.1110703017806064,1.6402486802427887,0.07716498321718429
1.5430952565553815,0.5117212237745972,1.7348740095210036,1.1226477383739861,1.0996056691838918,0.9425947060739042,1.1016181054133263,0.12214873854455799,1.7787261393415932,-0.0647677898556342
1.6132701195978463,0.525668270834326,1.8725877924429408,1.2292180873874303,1.258321818268452,0.9647543717539429,1.2544622861771573,0.1386000857673798,1.8519178539095629,-0.15013579835136043
1.7156790047232426,0.5133136788812398,1.992986138980644,1.264759361590467,1.3899558546599575,1.0111712407001514,1.3939845028246844,0.1490405334485846,1.9710591794523509,-0.19390578211341952
1.8557071612081435,0.5497268939312162,2.1502828213044323,1.29893672143181,1.5377955050843066,1.0488276948984219,1.556876227897839,0.1516839741790625,2.123721367041603,-0.19068093007189296
1.9307375201698649,0.5693093901970874,2.335757805518698,1.3291383465569064,1.6987820826291469,1.1124091061862749,1.6744869726167702,0.08016010054269507,2.2881022884931816,-0.194477717973918
2.0938742079805577,0.5891242217891158,2.5076982317154966,1.3611132065050147,1.8370610653894408,1.214372578570696,1.7687640945925687,0.0051741850978042625,2.447051044321526,-0.13533838858071684
2.2427503422632693,0.5711531347521319,2.668797446542113,1.367129130477398,1.9716849470559035,1.2582405612801437,1.9065632341270466,-0.09270560299990183,2.6279757933710006,-0.08301062043714835
2.4050140067074373,0.5946533833103176,2.8273126849477213,1.3828396133359635,2.0765894653777863,1.3572156243835076,2.023942394949694,-0.16164490037482737,2.783500493193924,-0.0504276977707635
2.5168386615933787,0.6352263758678853,2.996011611030479,1.404809869375907,2.197457811948378,1.4407364374534186,2.1742377907660924,-0.19418436433530772,2.917950653120464,-0.02594194484760526
2.701451541110599,0.6679377933264092,3.1573713268310204,1.4191918442568543,2.350044120977377,1.498054382033001,2.3214874626143045,-0.18479669209805027,3.065132870518597,0.0038310283701786796
2.865589448591861,0.6824007593816463,3.3138530054098805,1.431957548853077,2.4722839973164707,1.5175250153446478,2.4856659577201423,-0.1754835348359195,3.2103515708637254,-0.02195712063034383
3.005344205472057,0.6512472653919368,3.4685214648975764,1.4390913998352133,2.594773702304174,1.4434639315850784,2.640310253714805,-0.14367559735204682,3.3576654260306276,-0.1052817001448988
3.152308768102039,0.5922107915345962,3.6206616549937287,1.443690271001378,2.667510278897855,1.3302107629931137,2.802121900672469,-0.12434739107063864,3.4666075752266274,-0.17090568467052825
3.248937062937063,0.5535944055944056,3.7832097902097903,1.4364125874125875,2.7449370629370633,1.217958041958042,2.938090909090909,-0.11209090909090891,3.582818181818182,-0.22745454545454546
3.3902578646413097,0.5158162220186138,3.9414746192530674,1.4063124355894172,2.8626033546698766,1.1781486751070664,3.0913444880420613,-0.1254606994215154,3.7574856014062745,-0.24713060282747568
